run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
0,1,39.122,0.071625,0.668972,3.53449,0,0,1,0,1,1,1
0,2,39.0197,0.0573989,0.668605,2.84287,0,0,1,0,1,1,1
0,3,38.9282,0.0430545,0.660227,2.12685,0,0,1,0,1,1,8
0,4,38.8703,0.0275183,0.659687,1.44776,0,0,1,0,1,1,1
0,5,38.8561,0.0137983,0.661717,0.880728,0,0,1,0,1,1,1
0,6,38.5127,0.0180146,0.669176,0.835105,0,0,1,0,1,1,1
0,7,38.3933,0.0267664,0.643858,1.11233,0,0,1,0,1,1,10
0,8,37.7684,0.028091,0.550877,1.25073,0,0,1,0,1,1,10
0,9,37.2045,0.0222372,0.558128,1.13061,0,0,1,0,1,1,5
0,10,36.5803,0.0219812,0.569096,0.798423,0,0,1,0,1,1,2
0,11,35.9912,0.0289454,0.578469,0.790729,0,0,1,0,1,1,2
0,12,35.29,0.0367644,0.249322,1.04536,0,0,1,0,1,1,9
0,13,34.4798,0.0320563,0.246609,1.11227,0,0,1,0,1,1,2
0,14,33.6505,0.0249969,0.241768,1.09133,0,0,1,0,1,1,5
0,15,33.07,0.0196231,0.233961,1.25699,0,0,1,0,1,1,1
0,16,32.5727,0.0239385,1.92293,1.2548,0,0,1,0,1,0,9
0,17,31.862,0.0280808,0.403933,0.950562,0,0,1,0,1,1,3
0,18,31.3071,0.0266758,0.0429556,0.953477,0,0,1,0,1,1,9
0,19,30.586,0.0249815,0.0431411,1.09208,0,0,1,0,1,1,5
0,20,29.8849,0.0266538,2.66943,1.12864,0,0,1,0,1,0,10
0,21,29.1303,0.0320477,0.0854969,1.17138,0,0,1,0,1,1,10
0,22,28.5982,0.0345455,0.09603,1.03912,0,0,1,0,1,1,5
0,23,27.9963,0.0351583,0.102178,1.03165,0,0,1,0,1,1,5
0,24,27.2642,0.0341867,0.110232,1.11443,0,0,1,0,1,1,5
0,25,26.456,0.0320342,0.119979,1.00779,0,0,1,0,1,1,1
0,26,25.5535,0.0340032,2.33657,0.947119,0,0,1,0,1,0,9
0,27,24.6277,0.0362827,0.124239,0.906579,0,0,1,0,1,1,6
0,28,23.6915,0.0346752,0.131886,0.898799,0,0,1,0,1,1,1
0,29,22.7463,0.0368024,0.131882,0.914379,0,0,1,0,1,1,1
0,30,21.8094,0.0391984,0.1316,0.899131,0,0,1,0,1,1,1
0,31,20.9151,0.0419901,0.132737,0.89365,0,0,1,0,0,1,6
0,32,19.9691,0.0459447,0.51466,0.871949,0,0,1,0,0,1,7
0,33,19.0638,0.0387919,0.124494,0.789064,0,0,1,0,0,1,7
0,34,18.1501,0.0444218,0.030405,0.718469,0,0,1,0,0,1,1
0,35,17.2103,0.0537727,0.059094,0.748187,0,0,1,0,0,1,10
0,36,16.3187,0.0575413,0.630702,0.729907,0,0,1,0,0,1,8
0,37,15.4971,0.055253,0.00755943,0.900496,0,0,1,0,0,1,1
0,38,14.7926,0.0574685,0.0961093,1.02563,0,0,1,0,0,1,7
0,39,14.5119,0.0755305,0.0993477,1.00665,0,0,1,0,0,1,2
0,40,14.5974,0.0851543,0.102016,1.04664,0,0,1,0,0,1,8
0,41,14.5333,0.0780756,2.88623,1.02049,0,0,1,0,0,0,10
0,42,14.3186,0.0757494,0.397755,0.922112,0,0,1,0,0,1,7
0,43,14.2879,0.0798074,1.34454,0.808966,0,0,1,0,0,1,9
0,44,14.3159,0.0579031,0.11448,1.05619,0,0,1,0,0,1,1
0,45,14.4487,0.0538222,0.107202,1.12133,0,0,1,0,0,1,2
0,46,14.3731,0.080684,0.164245,0.963683,0,0,1,0,0,1,9
0,47,14.6444,0.091967,0.136166,0.785114,0,0,1,0,0,1,7
0,48,14.7033,0.081344,0.128956,0.763769,0,0,1,0,0,1,2
0,49,14.6297,0.0622145,0.129917,1.06727,0,0,1,0,0,1,2
0,50,14.6907,0.0694738,0.0216283,0.972403,0,0,1,0,0,1,5
0,51,14.6611,0.0969869,0.282075,0.962539,0,0,1,0,0,1,9
0,52,14.5711,0.0877873,0.195568,1.08478,0,0,1,0,0,1,7
0,53,14.5253,0.0489584,2.41147,1.03547,0,0,1,0,0,0,4
0,54,14.3015,0.0508881,0.242573,1.10164,0,0,1,0,0,1,1
0,55,14.4705,0.0719423,0.185744,0.959451,0,0,1,0,0,1,7
0,56,14.7835,0.0765966,1.49344,0.958777,0,0,1,0,0,1,9
0,57,14.8959,0.0756178,0.32502,1.02005,0,0,1,0,0,1,9
0,58,15.0466,0.0881885,0.1468,0.719941,0,0,1,0,0,1,7
0,59,14.9801,0.0911511,0.300166,0.789897,0,0,1,0,0,1,6
0,60,14.9706,0.0670572,0.0410157,1.16036,0,0,1,0,0,1,5
